Date,Stationary1,Stationary2,Stationary3,Stationary4,Stationary5,Stationary6,Stationary7,Stationary8,Stationary9,Stationary10
4/7/2023,1356.838905,11.66999746,1321.717571,827.3342811,11.68627252,1287.786631,1166.689392,1229.388882,3884.302749,1331.84002
4/8/2023,1356.653869,11.3236652,1321.472156,827.0397774,11.76361027,1287.541136,1166.341772,1229.494326,3883.963991,1331.734842
4/9/2023,1356.5171,10.57027941,1321.276851,826.7405339,10.00837462,1287.314518,1166.109356,1229.245977,3884.127465,1331.435628
4/10/2023,1360.734123,10.50666498,1325.408891,826.2653392,9.428859902,1291.40138,1169.843741,1232.974206,3890.51655,1335.482555
4/11/2023,1366.902847,10.69243562,1331.484514,803.5399932,10.65940411,1297.311586,1175.239681,1238.609629,3858.569847,1341.787497
4/12/2023,1366.503307,11.4504825,1331.142649,820.8832861,13.13912302,1296.997827,1175.000067,1238.031894,3888.811601,1341.360488
4/13/2023,1362.248084,12.20362239,1326.876864,826.9165771,13.71118531,1292.977877,1171.209992,1234.023205,3891.63728,1337.298955
4/14/2023,1361.401826,12.48626713,1326.211952,827.2073885,12.81600336,1292.298512,1170.577878,1233.266848,3890.527415,1336.578895
4/15/2023,1362.077232,12.04672997,1326.767038,827.8270692,13.21979247,1292.862112,1171.084804,1233.943573,3893.711166,1337.332578
4/16/2023,1359.637139,12.44185756,1324.445699,827.7351648,13.03082559,1290.738538,1169.059788,1231.796307,3889.107604,1335.005826
4/17/2023,1360.24159,13.41390676,1325.104896,828.3032515,14.57956212,1291.481836,1169.637821,1232.218792,3889.687883,1335.605904
4/18/2023,1360.080721,13.04486007,1324.96814,827.724265,12.06093956,1291.210308,1169.569641,1232.154593,3888.881833,1335.592771
4/19/2023,1361.100658,13.48783131,1325.983385,828.1093007,12.51443067,1292.201155,1170.481047,1233.158139,3890.983426,1336.549444
4/20/2023,1359.270956,13.18429311,1324.167779,826.3613851,12.10134235,1290.292347,1169.116814,1231.48747,3885.263543,1334.776068
4/21/2023,1359.457298,13.66782054,1324.026752,827.1187631,14.00274392,1290.233857,1168.90394,1232.417135,3885.502547,1334.624055
4/22/2023,1359.775416,13.21166793,1324.316878,827.3104101,12.9038358,1290.376578,1169.090202,1232.220768,3887.225438,1334.87758
4/23/2023,1358.689446,13.75028323,1323.285338,827.5798509,14.10167999,1289.441658,1168.159082,1231.387459,3884.93072,1333.889588
4/24/2023,1358.929719,13.31337544,1323.547194,827.9780145,12.59460837,1289.548572,1168.219433,1231.50628,3886.8979,1334.113245
4/25/2023,1358.26315,13.27152564,1322.981145,827.8387673,12.46579018,1288.910686,1167.698201,1231.248654,3885.738363,1333.543758
4/26/2023,1358.382189,13.44803925,1323.098633,828.099241,12.62609065,1289.101602,1167.849272,1231.357194,3886.072371,1333.70722
4/27/2023,1357.34255,13.08739556,1322.084098,827.6734895,11.94846656,1288.08948,1166.884942,1230.955939,3884.212138,1332.647171
4/28/2023,1357.755749,13.1880312,1322.232696,828.0858884,13.68318722,1288.361635,1167.073464,1231.504018,3884.69245,1332.887313
4/29/2023,1357.50722,13.63600977,1321.943827,828.1135341,12.96168906,1288.061977,1166.823389,1231.486807,3883.832657,1332.556443
4/30/2023,1357.577526,13.44851778,1322.06976,828.2748041,14.43119396,1288.137767,1166.839639,1231.492438,3884.38057,1332.648407
5/1/2023,1357.927481,13.76910291,1322.2188,828.2170651,13.97981667,1288.384068,1166.991413,1231.585755,3884.108824,1332.8032
5/2/2023,1357.98127,14.21504491,1322.439681,828.1833809,14.28602937,1288.674738,1167.16087,1231.492583,3884.528299,1333.000868
5/3/2023,1357.844857,13.82087795,1322.263677,828.068622,12.95469616,1288.460391,1167.004472,1231.469164,3884.310246,1332.894961
5/4/2023,1357.845687,14.82614968,1322.155274,828.225363,14.44687561,1288.544512,1166.924126,1231.116061,3884.35793,1332.827191
5/5/2023,1357.922486,14.87973241,1322.321416,828.4563021,14.82287817,1288.593061,1167.05014,1231.239076,3884.371106,1333.063656
5/6/2023,1357.845761,14.72704069,1322.289364,828.5794864,13.66305147,1288.450433,1166.960278,1231.172283,3884.095544,1333.117803
5/7/2023,1358.293482,14.19411293,1322.850921,828.6114707,13.54812657,1288.879454,1167.38675,1231.652994,3885.444999,1333.560461
5/8/2023,1358.406299,13.96168028,1322.868482,828.6282811,13.54369891,1288.891574,1167.452469,1231.88597,3885.72121,1333.640634
5/9/2023,1358.151021,13.89847065,1322.556439,828.3647704,13.16884453,1288.578219,1167.128466,1231.52545,3884.868156,1333.319872
5/10/2023,1358.252611,14.1407731,1322.623258,828.3469098,14.97142051,1288.696387,1167.217114,1231.568588,3884.834736,1333.343284
5/11/2023,1358.324286,14.6454264,1322.680862,828.5483527,15.68371858,1288.738484,1167.301616,1231.7058,3884.742467,1333.470164
5/12/2023,1359.187376,14.7812957,1323.515558,828.7080712,14.25066314,1289.624604,1168.390302,1232.42137,3886.589138,1334.23613
5/13/2023,1358.839562,14.69869251,1323.183272,828.7009898,15.07007879,1289.218561,1168.211545,1231.894244,3885.618737,1333.898073
5/14/2023,1359.449059,15.04695924,1323.604097,829.136987,15.49501724,1289.758152,1168.59283,1232.301419,3886.291502,1334.538148
5/15/2023,1359.276623,15.15975668,1323.358518,829.5733074,15.92631731,1289.5163,1168.359904,1232.128845,3885.786735,1334.489877
5/16/2023,1359.559973,15.12154822,1323.402488,829.4630271,15.93261338,1289.658328,1168.297741,1232.153471,3885.791225,1334.53531
5/17/2023,1359.209073,15.22018157,1323.331949,829.4428181,15.2654789,1289.369729,1168.253587,1231.86706,3884.956831,1334.325873
